task_id,baseline,baseline_label,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,slippage_bps,market_impact_bps,round_trip_cost_bps,result_json
bt-ai-2023-bollinger_lower-m-top3-h60,bollinger_lower,Close <= Bollinger lower band,2023,2023-01-01,2023-12-31,M,3,60,5,5,0,0,0.0,31.08,-31.08,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-bollinger_lower-m-top3-h60.json
bt-ai-2023-bollinger_ranked-m-top3-h60,bollinger_ranked,"Lowest Bollinger %B, no threshold",2023,2023-01-01,2023-12-31,M,3,60,5,2,3,9,52.69,31.08,21.62,0.0,1.299,60.0,88.89,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-bollinger_ranked-m-top3-h60.json
bt-ai-2023-momentum_20d-m-top3-h60,momentum_20d,Highest 20-day momentum,2023,2023-01-01,2023-12-31,M,3,60,5,2,3,9,21.56,31.08,-9.52,0.0,0.76,40.0,33.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-momentum_20d-m-top3-h60.json
bt-ai-2023-rsi_oversold-m-top3-h60,rsi_oversold,RSI(14) <= 30,2023,2023-01-01,2023-12-31,M,3,60,5,5,0,0,0.0,31.08,-31.08,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-rsi_oversold-m-top3-h60.json
bt-ai-2023-rsi_ranked-m-top3-h60,rsi_ranked,"Lowest RSI(14), no threshold",2023,2023-01-01,2023-12-31,M,3,60,5,2,3,9,50.39,31.08,19.31,0.0,1.225,40.0,77.78,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-rsi_ranked-m-top3-h60.json
bt-ai-2023-vol_adjusted_momentum-m-top3-h60,vol_adjusted_momentum,Volatility-adjusted momentum,2023,2023-01-01,2023-12-31,M,3,60,5,2,3,9,9.72,31.08,-21.35,-8.92,0.383,20.0,22.22,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-vol_adjusted_momentum-m-top3-h60.json
bt-ai-2024-bollinger_lower-m-top3-h60,bollinger_lower,Close <= Bollinger lower band,2024,2024-01-01,2024-12-31,M,3,60,12,9,3,9,7.11,-40.32,47.43,-17.27,0.202,8.33,33.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-bollinger_lower-m-top3-h60.json
bt-ai-2024-bollinger_ranked-m-top3-h60,bollinger_ranked,"Lowest Bollinger %B, no threshold",2024,2024-01-01,2024-12-31,M,3,60,12,8,4,12,-5.34,-40.32,34.97,-26.89,-0.002,8.33,25.0,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-bollinger_ranked-m-top3-h60.json
bt-ai-2024-momentum_20d-m-top3-h60,momentum_20d,Highest 20-day momentum,2024,2024-01-01,2024-12-31,M,3,60,12,8,4,12,14.81,-40.32,55.12,-3.87,0.64,16.67,58.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-momentum_20d-m-top3-h60.json
bt-ai-2024-rsi_oversold-m-top3-h60,rsi_oversold,RSI(14) <= 30,2024,2024-01-01,2024-12-31,M,3,60,12,11,1,3,1.06,-40.32,41.38,0.0,0.592,8.33,33.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-rsi_oversold-m-top3-h60.json
bt-ai-2024-rsi_ranked-m-top3-h60,rsi_ranked,"Lowest RSI(14), no threshold",2024,2024-01-01,2024-12-31,M,3,60,12,8,4,12,-14.31,-40.32,26.01,-15.23,-0.799,16.67,25.0,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-rsi_ranked-m-top3-h60.json
bt-ai-2024-vol_adjusted_momentum-m-top3-h60,vol_adjusted_momentum,Volatility-adjusted momentum,2024,2024-01-01,2024-12-31,M,3,60,12,8,4,12,16.02,-40.32,56.33,-2.86,0.704,16.67,58.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-vol_adjusted_momentum-m-top3-h60.json
